code,2s,doi
1a64,0,10.1021/bi9629283
1a6n,0,10.1006/jmbi.1998.2273
1ado,0,10.1021/bi027388q 
1adw,0,10.1006/jmbi.1998.2588
1am7,0,10.1021/bi101126f
1aps,1,10.1110/ps.041205405 
1arr,1,10.1021/bi961375t 
1au7,0,10.1073/pnas.1101752108
1aue,0,10.1021/ja016480r
1avz,1,10.1110/ps.041205405 
1ayi,0,10.1038/83074
1b9c,0,10.1021/bi048733+
1ba5,1,10.1073/pnas.1835776100 
1bdd,1,10.1002/pro.5560060709 
1be9,0,10.1016/j.jmb.2004.11.040 
1bks,0,10.1016/j.jmb.2005.01.064 
1bni,0,10.1016/j.jmb.2003.08.024
1bta,0,10.1006/jmbi.1994.0196
1c8c,1,10.1006/jmbi.2000.4234 
1c9o,1,10.1038/nsb0398-229
1cbi,0,10.1002/(SICI)1097-0134(19981001)33:1<107::AID-PROT10>3.0.CO,2-P
1coe,0,10.1016/j.abb.2006.01.003 
1csp,1,10.1038/nsb0398-229
1cun,1,10.1016/j.jmb.2004.09.037
1d6o,1,10.1110/ps.041205405 
1div,1,10.1110/ps.041205405 
1dkt,1,10.1016/s0022-2836(02)01202-0 
1dwr,0,10.1073/pnas.0305376101
1e0g,1,10.1016/j.jmb.2008.05.020 
1e0l,1,10.1016/j.jmb.2006.05.050 
1e0m,1,10.1021/bi9822630 
1e3y,1,10.1007/s00249-011-0756-6 
1e41,1,10.1016/j.jmb.2009.04.004
1ehb,1,10.1021/bi990550d 
1ekg,0,10.1038/srep20782
1enh,0,10.1073/pnas.1835776100 
1f21,0,10.1073/pnas.1305887110 
1fa3,0,10.1021/bi701142a 
1fex,1,10.1073/pnas.1835776100 
1fga,1,10.1074/jbc.274.48.34083 
1fht,1,10.1110/ps.041205405 
1fnf,1,10.1006/jmbi.1997.1148 
1ftg,0,10.1021/bi010216t 
1g6p,1,10.1038/nsb0398-229
1gm1,1,10.1093/protein/gzi047
1gxt,0,10.1016/s0022-2836(03)00627-2 
1hcd,1,10.1016/j.jmb.2004.09.091
1hce,1,10.1110/ps.31702 
1hdn,1,10.1021/bi9717946
1hel,1,10.1038/349633a0 
1hfx,0,10.1021/bi00072a025 
1hfz,0,10.1006/jmbi.1999.2687 
1hng,0,10.1021/bi971294c 
1hrc,0,10.1021/ja410437d 
1hrh,0,10.1002/pro.5560071014 
1i1b,0,10.1021/bi026197k
1idy,1,10.1073/pnas.1835776100 
1ifc,0,10.1021/bi012042l 
1igs,0,10.1016/s0022-2836(02)00557-0 
1imq,1,10.1110/ps.041205405 
1io2,1,10.1016/j.jmb.2008.02.039
1j5u,1,10.1110/ps.041205405 
1jo8,1,10.1110/ps.041205405 
1joo,0,10.1110/ps.28202 
1k0s,1,10.1110/ps.041205405 
1k85,1,10.1016/j.jmb.2007.09.088 
1k8m,1,10.1016/s0014-5793(02)03444-0 
1k9q,1,10.1073/pnas.1008026107
1kdx,1,10.1021/acschembio.7b00289
1l63,0,10.1006/jmbi.1999.3204 
1l8w,1,10.1110/ps.041205405 
1lmb,1,10.1110/ps.041205405 
1lop,1,10.1006/jmbi.2000.3580 
1lz1,0,10.1021/bi00185a026 
1m9s,1,10.1110/ps.041205405 
1mbc,0,10.1073/pnas.0804033105 
1mjc,1,10.1002/pro.5560070228
1n88,1,10.1110/ps.041205405 
1nfi,1,10.1016/j.jmb.2011.02.021 
1nti,0,10.1073/pnas.152321499
1o6x,1,10.1110/ps.041205405 
1oks,0,10.1074/jbc.M116.721126
1omp,0,10.1073/pnas.1319482110 
1onc,0,10.1021/bi900596j 
1opa,0,10.1002/(sici)1097-0134(19981001)33:1<107::aid-prot10>3.0.co,2-P
1osp,0,10.1016/s0022-2836(02)00882-3 
1pgb,0,10.1038/13311
1php,0,10.1021/bi961330s 
1pin,1,10.1006/jmbi.2001.4873 
1pnj,1,10.1016/j.jmb.2010.08.046
1prb,1,10.1021/jp049652q
1prs,1,10.1016/s0014-5793(98)01287-3 
1puc,0,10.1016/s0969-2126(00)00084-8 
1qau,1,10.1016/j.febslet.2007.02.011
1qlp,0,10.1016/j.jmb.2012.08.019 
1qtu,1,10.1006/jmbi.2001.4928 
1r2t,0,10.1016/j.jmb.2003.12.076 
1ra9,0,10.1016/s0022-2836(02)01444-4 
1rbx,0,10.1073/pnas.87.21.8197 
1rfa,1,10.1016/j.jmb.2006.10.079 
1rg8,1,10.1016/s0022-2836(03)00321-8 
1ris,1,10.1110/ps.041205405 
1ryk,1,10.1110/ps.041205405 
1shg,1,10.1110/ps.041205405 
1spr,1,10.1110/ps.041205405 
1srl,1,10.1110/ps.041205405 
1ss1,1,10.1016/j.jmb.2006.05.051 
1st7,1,10.1002/prot.20340 
1ten,1,10.1006/jmbi.2000.3517 
1thf,0,10.1021/bi300189f 
1tit,0,10.1016/s0969-2126(01)00596-2 
1tp3,1,10.1073/pnas.0804774105
1ttg,0,10.1110/ps.9.1.112 
1u4q,1,10.1016/j.jmb.2004.09.037
1ubq,0,10.1021/cr040430y
1uch,0,10.1111/j.1742-4658.2009.06990.x 
1uzc,0,10.1073/pnas.0401732101
1v9e,0,10.1016/j.bbrc.2008.02.096 
1vii,1,10.1016/s0022-2836(03)00519-9 
1w4e,1,10.1016/j.jmb.2005.12.016 
1w4j,1,10.1016/j.jmb.2008.06.081 
1wit,1,10.1016/S0969-2126(99)80181-6
1wq5,0,10.1016/0022-2836(94)90023-x 
1ygw,0,10.1021/bi00075a006 
1ymb,0,10.1021/ac101679j 
1yob,0,10.1021/ja8089476 
1yyj,1,10.1021/bi025872n
1yyx,1,10.1021/bi025872n 
2a3d,1,10.1073/pnas.2136623100
2a5e,0,10.1006/jmbi.1998.2420 
2abd,0,10.1006/jmbi.2000.4003 
2bjd,0,10.1021/bi030238a 
2bkf,1,10.1021/bi1016793
2cro,0,10.1021/bi001388d 
2crt,0,10.1074/jbc.273.17.10181 
2eql,0,10.1006/jmbi.1999.2741 
2fs6,0,10.1002/prot.1040 
2ga5,1,10.1039/C3CP54055C 
2j5a,1,10.1016/j.jmb.2006.09.016
2jmc,1,10.1093/protein/gzp041 
2kdi,0,10.1016/j.bpc.2011.05.004
2kll,0,10.1371/journal.pone.0144067 
2l6r,1,10.1021/ja801401a 
2llh,1,10.1073/pnas.0910516107 
2lzm,0,10.1016/j.jmb.2006.10.048 
2myo,1,10.1073/pnas.0604653104 
2pqe,0,10.1016/j.jmb.2003.07.002 
2ptl,1,10.1110/ps.041205405 
2qjl,1,10.1110/ps.041205405 
2rn2,0,10.1038/12277 
2vh7,1,10.1021/bi9822630 
2vil,0,10.1006/jmbi.2000.4190 
2vkn,1,10.1110/ps.041205405 
2wqg,1,10.1016/j.febslet.2015.06.002
2wxc,1,10.1016/j.jmb.2008.12.056 
2x7z,1,10.1074/jbc.m110.110833
3blm,0,10.1016/0022-2836(85)90384-5 
3chy,0,10.1021/bi00185a025 
3ci2,1,10.1110/ps.041205405 
3f6r,0,10.1016/j.jmb.2009.11.008 
3h08,0,10.1021/bi900305p 
3npo,0,10.1006/jmbi.1999.3515 
3o49,1,10.1016/j.jmb.2011.02.002
3o4b,1,10.1016/j.jmb.2011.02.002
3o4d,1,10.1016/j.jmb.2011.02.002
3zrt,1,10.1016/j.febslet.2007.02.011
4blm,0,10.1021/bi0358162
5dfr,0,10.1002/pro.5560040204 
5l8i,0,10.1002/prot.22286
9pcy,0,10.1021/bi00097a005 
